study_word	test	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	text.started	slider.started	slider.response	slider.rt	text_2.started	textbox.started	text_3.started	mouse.started	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	text_2.stopped	textbox.stopped	text_3.stopped	mouse.stopped	participant	session	date	expName	psychopyVersion	frameRate
piano		0	0	0	4					14.34961071	14.34961071	2.020833333	2.33869771																	dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
cushion		0	1	1	3					16.70830023	16.70830023	2.067708333	1.426493726																	dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
tiger		0	2	2	1					18.1581447	18.1581447	1.494791667	0.726024073																	dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
vase		0	3	3	0					18.91152417	18.91152417	1.494791667	0.042102772																	dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
book		0	4	4	2					18.97308715	18.97308715	1.380208333	1.194477483																	dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	c_m_r_					0	0	0	6					20.19072672	20.19072672	20.19072672	0.008571974	camera	[0.040364583333333336]	[-0.2903645833333333]	[1]	[0]	[0]	[6.372761011104103]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	_p_a_d_					0	1	1	7					26.57016092	26.57016092	26.57016092	0.003351993	keypad	[-0.01171875]	[-0.30078125]	[1]	[0]	[0]	[7.679418267396613]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	_ia_n					0	2	2	4					34.2542075	34.2542075	34.2542075	0.002294835	piano	[0.0703125]	[-0.2955729166666667]	[1]	[0]	[0]	[4.730593517709167]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	_ea_o_					0	3	3	5					38.98815482	38.98815482	38.98815482	0.002307514		[]	[]	[]	[]	[]	[]	[]	48.98913712	48.98913712	48.98913712	9.9996776	dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	c_s_h_o_n					0	4	4	3					48.98913712	48.98913712	48.98913712	0.003174492	cushion	[0.018229166666666668]	[-0.2942708333333333]	[1]	[0]	[0]	[4.0640377389017885]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	_oo_					0	5	5	2					53.05617366	53.05617366	53.05617366	0.002154465	food	[0.016927083333333332]	[-0.3111979166666667]	[1]	[0]	[0]	[3.680565685057445]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	t_g_r					0	6	6	1					56.73993587	56.73993587	56.73993587	0.002304495	tiger	[0.11328125]	[-0.3111979166666667]	[1]	[0]	[0]	[3.3138949531735307]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	_o_s_					0	7	7	8					60.0570029	60.0570029	60.0570029	0.002263139		[0.11328125]	[-0.3111979166666667]	[1]	[0]	[0]	[0.09669672915015326]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	_a_e					0	8	8	0					60.15688982	60.15688982	60.15688982	0.002130013	vase	[0.1015625]	[-0.3033854166666667]	[1]	[0]	[0]	[2.580533867687791]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
	o_a_n_e					0	9	9	9					62.74062776	62.74062776	62.74062776	0.002541465		[0.1015625]	[-0.3033854166666667]	[1]	[0]	[0]	[0.07981329784934132]	['text_3']					dhruvifinal	1	2022-10-14_11h29.29.852	Tutorial 5	2022.2.2	60.00036225
																																			
																																			
						0.2																													
